City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good
Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good
Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good
Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups
Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
Raalte,41,Good,1,Good,24,Good,6,Good,41,Good
Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good
Pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups
Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good
Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate
Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good
Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good
Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good
Pori,30,Good,1,Good,30,Good,1,Good,15,Good
Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good
Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good
Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate
Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good
Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate
Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
Deinze,36,Good,1,Good,25,Good,3,Good,36,Good
Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate
Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups
Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
Destin,31,Good,0,Good,31,Good,0,Good,25,Good
Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy
Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate
Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy
Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good
Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good
Dobele,44,Good,1,Good,34,Good,0,Good,44,Good
Grandville,47,Good,1,Good,37,Good,4,Good,47,Good
Grave,37,Good,0,Good,32,Good,2,Good,37,Good
Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good
Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate
Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good
Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate
Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate
Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate
Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate
Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate
Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good
Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good
Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate
Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good
Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate
Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate
Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good
Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy
Haiger,49,Good,1,Good,25,Good,3,Good,49,Good
Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good
Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate
Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good
Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good
Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate
Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good
Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy
Teano,47,Good,1,Good,47,Good,1,Good,36,Good
Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good
Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy
Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
Teramo,44,Good,1,Good,44,Good,1,Good,38,Good
Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups
Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups
Tidore,21,Good,0,Good,13,Good,0,Good,21,Good
Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good
Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good
Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate
Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good
Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good
Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good
Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,Moderate
Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate
Izazi,28,Good,1,Good,15,Good,0,Good,28,Good
Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate
Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good
Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy
Jambol,40,Good,1,Good,40,Good,0,Good,32,Good
Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good
Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups
Imatra,29,Good,1,Good,29,Good,1,Good,7,Good
Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate
Indang,50,Good,0,Good,24,Good,0,Good,50,Good
Itagi,25,Good,0,Good,9,Good,1,Good,25,Good
Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate
Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate
Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good
Itambe,21,Good,0,Good,8,Good,1,Good,21,Good
Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good
Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate
Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,Moderate
Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate
Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate
Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate
Tuyen Quang,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups
Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good
Tysons Corner,55,Moderate,2,Good,25,Good,11,Good,55,Moderate
Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good
Udupi,80,Moderate,1,Good,25,Good,0,Good,80,Moderate
Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy
Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups
Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate
Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate
Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate
Wulanhaote,47,Good,2,Good,47,Good,0,Good,25,Good
Xiangdong,78,Moderate,2,Good,25,Good,7,Good,78,Moderate
Xiaoweizhai,61,Moderate,2,Good,61,Moderate,0,Good,54,Moderate
Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups
Yanacancha,27,Good,0,Good,6,Good,1,Good,27,Good
Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy
Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups
Yanggu,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,Unhealthy
Yangliuqing,144,Unhealthy for Sensitive Groups,4,Good,109,Unhealthy for Sensitive Groups,9,Good,144,Unhealthy for Sensitive Groups
Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate
Yankton,47,Good,1,Good,34,Good,3,Good,47,Good
Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate
West Carrollton City,84,Moderate,3,Good,9,Good,24,Good,84,Moderate
Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate
Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good
Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good
Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate
Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate
Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate
Foz Do Iguacu,22,Good,1,Good,13,Good,0,Good,22,Good
Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good
Friendly,41,Good,1,Good,30,Good,8,Good,41,Good
Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good
Furano,29,Good,1,Good,26,Good,1,Good,29,Good
Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good
Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good
Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good
Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate
Garowe,98,Moderate,0,Good,17,Good,0,Good,98,Moderate
Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good
Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good
Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups
Glubokiy,35,Good,1,Good,35,Good,0,Good,17,Good
Golborne,35,Good,1,Good,30,Good,4,Good,35,Good
Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good
Goryachevodskiy,48,Good,1,Good,39,Good,1,Good,48,Good
Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous
Grand Lahou,54,Moderate,1,Good,25,Good,0,Good,54,Moderate
Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate
Hoganas,36,Good,1,Good,36,Good,1,Good,30,Good
Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good
Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good
Huaicheng,151,Unhealthy,4,Good,45,Good,4,Good,151,Unhealthy
Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups
Idanre,115,Unhealthy for Sensitive Groups,3,Good,24,Good,2,Good,115,Unhealthy for Sensitive Groups
Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate
Ihlow,40,Good,1,Good,30,Good,2,Good,40,Good
Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good
Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,Moderate
Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good
Suvorovskaya,52,Moderate,1,Good,39,Good,1,Good,52,Moderate
Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate
Swiecie,44,Good,1,Good,33,Good,1,Good,44,Good
Szeged,50,Good,1,Good,41,Good,1,Good,50,Good
Szerencs,72,Moderate,1,Good,42,Good,1,Good,72,Moderate
Taburbah,49,Good,1,Good,49,Good,1,Good,32,Good
Tadepallegudem,127,Unhealthy for Sensitive Groups,2,Good,65,Moderate,1,Good,127,Unhealthy for Sensitive Groups
Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate
Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good
Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good
Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good
Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy
Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good
Taldom,46,Good,1,Good,27,Good,1,Good,46,Good
Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate
Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate
Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate
Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,Moderate
Tandarei,41,Good,1,Good,41,Good,0,Good,38,Good
Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good
Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good
Yaval,102,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,102,Unhealthy for Sensitive Groups
Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate
Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups
Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
Zambrow,35,Good,1,Good,35,Good,0,Good,17,Good
Zamosc,48,Good,1,Good,35,Good,1,Good,48,Good
Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate
Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate
Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate
Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy
Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,Moderate
Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good
Aalburg,30,Good,0,Good,30,Good,2,Good,29,Good
Abaran,47,Good,1,Good,21,Good,2,Good,47,Good
Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate
Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups
Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy
Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate
Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy
Agbor,139,Unhealthy for Sensitive Groups,7,Good,13,Good,5,Good,139,Unhealthy for Sensitive Groups
Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,Moderate
Akyab,145,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,145,Unhealthy for Sensitive Groups
Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate
Alagir,50,Good,1,Good,36,Good,1,Good,50,Good
Alken,35,Good,1,Good,25,Good,3,Good,35,Good
Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
Almirante Tamandare,13,Good,1,Good,12,Good,1,Good,13,Good
Almoradi,48,Good,1,Good,23,Good,3,Good,48,Good
Alotau,28,Good,0,Good,28,Good,0,Good,13,Good
Altotting,50,Good,1,Good,29,Good,3,Good,50,Good
Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good
Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate
Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good
Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate
Anyksciai,47,Good,1,Good,32,Good,0,Good,47,Good
Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups
Apaseo El Grande,60,Moderate,1,Good,16,Good,5,Good,60,Moderate
Aragarcas,32,Good,1,Good,3,Good,2,Good,32,Good
Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good
Armentieres,34,Good,0,Good,28,Good,2,Good,34,Good
Arsk,28,Good,1,Good,28,Good,1,Good,19,Good
Artyom,48,Good,1,Good,35,Good,0,Good,48,Good
Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good
Asosa,97,Moderate,1,Good,14,Good,0,Good,97,Moderate
Astaneh Ye Ashrafiyeh,75,Moderate,1,Good,37,Good,0,Good,75,Moderate
Atarra,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy
Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups
Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate
Avdiyivka,41,Good,1,Good,41,Good,3,Good,27,Good
Avintes,37,Good,1,Good,16,Good,7,Good,37,Good
Ayer Keroh,59,Moderate,1,Good,34,Good,0,Good,59,Moderate
Ayr,29,Good,1,Good,29,Good,2,Good,20,Good
Baarn,34,Good,0,Good,34,Good,1,Good,26,Good
Backa Palanka,70,Moderate,1,Good,41,Good,0,Good,70,Moderate
Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good
Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous
Balfour,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous
Ballitoville,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy
Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate
Bandar Penggaram,76,Moderate,1,Good,39,Good,0,Good,76,Moderate
Bangued,27,Good,0,Good,23,Good,0,Good,27,Good
Banovce,59,Moderate,1,Good,26,Good,2,Good,59,Moderate
Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good
Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate
Basse,127,Unhealthy for Sensitive Groups,1,Good,18,Good,0,Good,127,Unhealthy for Sensitive Groups
Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate
Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate
Bazpur,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy
Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups
Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate
Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate
Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good
Cazin,50,Good,1,Good,33,Good,0,Good,50,Good
Cernusco Sul Naviglio,103,Unhealthy for Sensitive Groups,1,Good,33,Good,6,Good,103,Unhealthy for Sensitive Groups
Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good
Ceske Budejovice,61,Moderate,1,Good,38,Good,1,Good,61,Moderate
Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good
Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good
Chalon Sur Saone,32,Good,1,Good,32,Good,1,Good,20,Good
Chaoyang,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy
Chau Doc,57,Moderate,1,Good,32,Good,0,Good,57,Moderate
Cherepanovo,38,Good,1,Good,38,Good,0,Good,35,Good
Cherkessk,49,Good,1,Good,40,Good,0,Good,49,Good
Chhabra,171,Unhealthy,1,Good,42,Good,0,Good,171,Unhealthy
Chilakalurupet,91,Moderate,1,Good,28,Good,1,Good,91,Moderate
Chilpancingo,72,Moderate,2,Good,4,Good,5,Good,72,Moderate
Chipurupalle,153,Unhealthy,2,Good,22,Good,6,Good,153,Unhealthy
Chojnow,59,Moderate,1,Good,25,Good,2,Good,59,Moderate
Chotila,157,Unhealthy,0,Good,31,Good,1,Good,157,Unhealthy
Cimarron Hills,73,Moderate,1,Good,32,Good,2,Good,73,Moderate
Claudio,71,Moderate,2,Good,3,Good,6,Good,71,Moderate
Clevelandia,17,Good,0,Good,17,Good,0,Good,11,Good
Coari,46,Good,1,Good,2,Good,0,Good,46,Good
Coatbridge,35,Good,1,Good,12,Good,9,Good,35,Good
Cobh,24,Good,0,Good,24,Good,1,Good,16,Good
Colatina,45,Good,1,Good,14,Good,2,Good,45,Good
Comanesti,61,Moderate,1,Good,40,Good,0,Good,61,Moderate
Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate
Como,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups
Conde,19,Good,0,Good,19,Good,0,Good,11,Good
Consett,31,Good,0,Good,31,Good,2,Good,22,Good
Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy
Copperas Cove,31,Good,1,Good,21,Good,1,Good,31,Good
Cornelio Procopio,37,Good,1,Good,12,Good,1,Good,37,Good
Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good
Cotija,41,Good,1,Good,8,Good,3,Good,41,Good
Crevalcore,103,Unhealthy for Sensitive Groups,2,Good,28,Good,9,Good,103,Unhealthy for Sensitive Groups
Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
Culleredo,30,Good,0,Good,30,Good,2,Good,13,Good
Cuncolim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate
Curvelo,42,Good,1,Good,2,Good,4,Good,42,Good
Cuxhaven,35,Good,0,Good,35,Good,0,Good,30,Good
Cypress Lake,46,Good,1,Good,25,Good,5,Good,46,Good
Czestochowa,93,Moderate,1,Good,27,Good,4,Good,93,Moderate
Dalaba,63,Moderate,2,Good,13,Good,0,Good,63,Moderate
Dalbandin,160,Unhealthy,0,Good,39,Good,0,Good,160,Unhealthy
Beaune,39,Good,1,Good,26,Good,1,Good,39,Good
Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
Begoro,105,Unhealthy for Sensitive Groups,2,Good,13,Good,2,Good,105,Unhealthy for Sensitive Groups
Beipiao,93,Moderate,2,Good,90,Moderate,1,Good,93,Moderate
Bela Cruz,45,Good,0,Good,22,Good,0,Good,45,Good
Bermejo,54,Moderate,1,Good,8,Good,1,Good,54,Moderate
Bernburg,36,Good,0,Good,29,Good,2,Good,36,Good
Berwick,50,Good,1,Good,35,Good,5,Good,50,Good
Betma,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy
Beverly,48,Good,1,Good,36,Good,5,Good,48,Good
Bezhetsk,24,Good,0,Good,24,Good,0,Good,24,Good
Bhairab Bazar,132,Unhealthy for Sensitive Groups,3,Good,44,Good,4,Good,132,Unhealthy for Sensitive Groups
Bhalwal,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy
Bhimavaram,124,Unhealthy for Sensitive Groups,1,Good,36,Good,1,Good,124,Unhealthy for Sensitive Groups
Bhinmal,202,Very Unhealthy,0,Good,34,Good,0,Good,202,Very Unhealthy
Bhiwandi,151,Unhealthy,1,Good,26,Good,1,Good,151,Unhealthy
Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate
Baiao,39,Good,1,Good,5,Good,0,Good,39,Good
Baksan,48,Good,1,Good,39,Good,1,Good,48,Good
Bara,52,Moderate,2,Good,17,Good,0,Good,52,Moderate
Baranoa,104,Unhealthy for Sensitive Groups,1,Good,16,Good,2,Good,104,Unhealthy for Sensitive Groups
Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate
Bardsir,91,Moderate,1,Good,49,Good,0,Good,91,Moderate
Bari Sadri,167,Unhealthy,1,Good,32,Good,0,Good,167,Unhealthy
Nong Bua,38,Good,0,Good,20,Good,0,Good,38,Good
Nong Han,57,Moderate,0,Good,25,Good,0,Good,57,Moderate
Noordwijkerhout,41,Good,1,Good,27,Good,5,Good,41,Good
North Andrews Gardens,78,Moderate,1,Good,11,Good,12,Good,78,Moderate
Northbridge,47,Good,1,Good,46,Good,2,Good,47,Good
Norwich,29,Good,0,Good,29,Good,3,Good,18,Good
Novi Becej,60,Moderate,1,Good,34,Good,1,Good,60,Moderate
Nuenen,37,Good,1,Good,32,Good,3,Good,37,Good
Nueva Imperial,61,Moderate,2,Good,2,Good,9,Good,61,Moderate
Nuevo Arraijan,67,Moderate,2,Good,20,Good,5,Good,67,Moderate
Nuevo Casas Grandes,46,Good,1,Good,17,Good,2,Good,46,Good
Oak Lawn,79,Moderate,2,Good,13,Good,27,Good,79,Moderate
Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate
Obuasi,81,Moderate,1,Good,18,Good,0,Good,81,Moderate
Odawara,39,Good,1,Good,38,Good,2,Good,39,Good
Oer Erkenschwick,34,Good,1,Good,34,Good,2,Good,27,Good
Ohrid,42,Good,1,Good,41,Good,0,Good,42,Good
Okawa,41,Good,2,Good,36,Good,5,Good,41,Good
